,Unnamed: 0,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml,latitudine,longitudine,cec,cfvo,clay,nitrogen,phh2o,sand,silt
12671,12671,156952,"Donnafugata, Angheli",Donnafugata,Italy,Sicilia,,,,Merlot,Nero d'Avola,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,79000,2016,750,37.79586601848224,12.465858454596376,201.0,116.0,377.0,212.0,72.0,250.0,373.0
12740,12740,157075,"Feudi, di San Gregorio Patrimo",Feudi Feudi di San Gregorio,Italy,Campania,,,,Merlot,,,,,,,,,,,,Red,Table,14,10~12,SWEET1,ACIDITY3,BODY4,TANNIN3,450000,2013,750,40.9111903792142,14.867403737682805,260.0,133.0,312.0,379.0,73.0,304.0,384.0
12964,12964,157662,Ornellaia Le Serre Nuove,Ornellaia,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Sauvignon,Petit Verdot,Cabernet Franc,,,,,,,,,Red,Table,14.5,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,165000,2012,750,43.2340065,10.6179334,233.0,102.0,293.0,365.0,75.0,356.0,352.0
13232,13232,158340,"Feudi del Pisciotto, Baglio Syrah Merlot",Feudi del Pisciotto,Italy,Sicilia,,,,Merlot,Syrah & Shiraz,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,55000,2014,750,37.115731110448216,14.411943195222069,222.0,117.0,359.0,230.0,76.0,258.0,382.0
13825,13825,159284,"La Tordera, Gabry Rose Spumante",La Tordera,Italy,Veneto,,,,Merlot,Incrocio Manzoni,,,,,,,,,,,Sparkling,Table,12,6~8,SWEET1,ACIDITY3,BODY3,TANNIN1,58000,0,750,45.8616409,12.0387488,270.0,158.0,289.0,625.0,66.0,291.0,420.0
14475,14475,160460,Giacomo Marengo Armire Langhe,Giacomo Marengo,Italy,Piemonte,Langhe,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,450000,2005,750,43.33029052608695,11.727208821739131,275.0,108.0,296.0,296.0,77.0,304.0,400.0
15549,15549,161721,"Barone Montalto, Collezione di Famiglia Merlot",Barone Montalto,Italy,Sicilia,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,62500,2014,750,37.79586601848224,12.465858454596376,201.0,116.0,377.0,212.0,72.0,250.0,373.0
16664,16664,162922,"Poggio Torselli, Raniero",Poggio Torselli,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750,43.66984987655893,11.196492380114918,229.0,94.0,288.0,394.0,74.0,402.0,310.0
16672,16672,162935,"Mondello, Rinero Veneto Desmonta",Mondello Wines,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2013,750,45.401528909139735,11.229835868539752,297.0,130.0,238.0,531.0,69.0,295.0,466.0
16673,16673,162936,"Mondello, Nero d'Arcole Desmonta",Mondello Wines,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,0,2012,750,45.401528909139735,11.229814410868391,297.0,130.0,238.0,531.0,69.0,295.0,466.0
16675,16675,162938,"Bixio, Denxo Desmonta Super Appassimento",Bixio Poderi,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,Etc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,0,750,45.401552376008695,11.229623726211152,297.0,130.0,238.0,531.0,69.0,295.0,466.0
16697,16697,162961,"Vignano Fanucci, Merlino",Vignano Fanucci,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750,43.55664438103482,11.13055243963164,265.0,112.0,313.0,440.0,74.0,275.0,412.0
16742,16742,163009,"Le Fabbriche, Merlot Palma",Le Fabbriche,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750,43.30160717081344,11.746716738618668,271.0,107.0,287.0,270.0,77.0,282.0,430.0
16810,16810,163084,"Poggio al Tesoro, Il Seggio ",Poggio al Tesoro,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,138000,2017,750,43.217632259706676,10.614775580769296,240.0,124.0,247.0,263.0,76.0,388.0,366.0
16966,16966,163241,"Franz-Haas, Merlot",FranzHaas,Italy,TrentinoAlto Adige,,,,Merlot,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,180000,2016,750,46.32208477928393,11.288035350534866,279.0,206.0,227.0,847.0,63.0,443.0,330.0
17100,17100,163484,"Famiglia Cotarella, Montiano",Famiglia Cotarella,Italy,Lazio,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750,42.652159142044006,12.244261379854033,266.0,104.0,292.0,290.0,74.0,248.0,460.0
17107,17107,163511,"Le Monde, Friuli Merlot",Le Monde,Italy,Friuli Venezia Giulia,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2017,750,45.86058621041889,12.554067370215646,319.0,104.0,395.0,672.0,74.0,107.0,499.0
17110,17110,163550,Orma Rosso Super Tuscan,Orma,Italy,,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,14~15,15~17,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2016,750,43.1655109315899,10.609390766385436,250.0,122.0,257.0,352.0,74.0,379.0,364.0
17111,17111,163551,Passi di Orma the Second,Orma,Italy,,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,14~15,15~17,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2017,750,43.1655109315899,10.609390766385436,250.0,122.0,257.0,352.0,74.0,379.0,364.0
17120,17120,163579,"San Felice, Bell'Aja",San Felice,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2017,750,43.350811496875004,11.467902484559106,279.0,97.0,377.0,538.0,71.0,272.0,351.0
17127,17127,163590,"Tenuta di Arceno Arcanum, Valadorna",Tenuta di Arceno,Italy,Toscana,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,Petit Verdot,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,280000,2013,750,43.380307776970845,11.511851668249196,307.0,85.0,331.0,544.0,70.0,282.0,387.0
17132,17132,163609,"Valori, Inkiostro",Valori,Italy,Abruzzo,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750,42.78785640000662,13.827079881714246,253.0,114.0,357.0,273.0,78.0,148.0,495.0
17260,17260,163758,"Cecchi, La Mora Merlot di Toscana",Cecchi,Italy,Toscana,Maremma,,,Merlot,,,,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2016,750,46.1377869,13.3375898,339.0,167.0,220.0,512.0,65.0,374.0,406.0
17265,17265,163763,"Monte guelfo, I Merli",Cecchi,Italy,Toscana,,,,Merlot,Sangiovese,,,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY2,BODY3,TANNIN3,0,2018,750,46.1377869,13.3375898,339.0,167.0,220.0,512.0,65.0,374.0,406.0
17765,17765,164309,"BrandLand SRL, Chiorri Selezione Merlot Colli Perugini",SRL BrandLand SRL,Italy,Umbria,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2015,750,43.002607102601104,12.356593584654668,269.0,97.0,338.0,278.0,76.0,229.0,433.0
17783,17783,164359,"Piera Martellozzo, Terre Magre Merlot Friuli",1899 Piera Martellozzo 1899,Italy,Friuli Venezia Giulia,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,0,750,46.009068832557105,12.651772272909893,319.0,122.0,195.0,604.0,67.0,334.0,471.0
17998,17998,164643,"Caccia al Piano, Ruit Hora Bolgheri",Caccia al Piano,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Sauvignon,Syrah & Shiraz,Petit Verdot,,,,,,,,,Red,Table,14,15~17,SWEET1,ACIDITY5,BODY5,TANNIN5,0,2013,750,43.19560487063983,10.611690788571766,254.0,143.0,243.0,294.0,77.0,374.0,383.0
18429,18429,165119,Il Principe Della Faggeta,Luca Menicucci,Italy,Toscana,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2014,750,42.31783304315287,14.30926116634859,292.0,120.0,317.0,372.0,74.0,261.0,422.0
18507,18507,165251,"Masseria Lanzolla, Lucerio",Masseria Lanzolla,Italy,Basilicata,,,,Merlot,Negroamaro,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN4,0,0,750,40.35920533011633,16.646357410447546,245.0,148.0,351.0,335.0,75.0,204.0,444.0
18535,18535,165302,"Tolaini, Al Passo Toscana",Tolaini,Italy,Toscana,,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,43000,2014,750,43.38198854350965,11.39076505475828,289.0,95.0,309.0,293.0,76.0,324.0,368.0
18616,18616,165383,"Feudi, Campo Alle Comete Stupore",Feudi Feudi di San Gregorio,Italy,Toscana,Bolgheri,,,Merlot,Syrah & Shiraz,Petit Verdot,Cabernet Sauvignon,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,90000,2015,750,40.911157947085776,14.867446652797806,260.0,133.0,312.0,379.0,73.0,304.0,384.0
18807,18807,165619,Cielo 9 Frizzante Rosato,Cielo e Terra,Italy,Veneto,,,,Merlot,,,,,,,,,,,,Sparkling,Table,9,10~12,SWEET2,ACIDITY3,BODY2,TANNIN1,39000,0,750,49.0756358,0.9652025944774796,249.0,133.0,169.0,515.0,68.0,93.0,737.0
19134,19134,166008,"Denis Montanar, Borc Dodon Merlot",Denis Montanar,Italy,Friuli Venezia Giulia,,,,Merlot,,,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,126000,2015,750,45.80771453027569,13.371388853013608,370.0,148.0,328.0,633.0,70.0,141.0,531.0
19155,19155,166029,"Bixio Poderi, DESMONTA' Nero D'arcole",Bixio Poderi,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,15,15~17,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2013,750,45.401552,11.229624,297.0,130.0,238.0,531.0,69.0,295.0,466.0
19158,19158,166032,Denxo Desmonta,Bixio Poderi,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,Etc,,,,,,,,,,Red,Table,15.5,15~17,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2010,750,45.401552,11.229624,297.0,130.0,238.0,531.0,69.0,295.0,466.0
19160,19160,166034,"Canal Grando, Rosso Venezia",Bosco Viticultori  Vigna Dogarina,Italy,Friuli Venezia Giulia,,,,Merlot,Cabernet Sauvignon,Refosco,,,,,,,,,,Red,Table,14,15~17,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2017,750,45.70460127167612,12.476667539517802,302.0,106.0,259.0,576.0,72.0,235.0,505.0
19161,19161,166035,Conte Priuli Rosso Cuvee Standard,Bosco Viticultori  Vigna Dogarina,Italy,,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13,15~17,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2018,750,45.70460127167612,12.476667539517802,302.0,106.0,259.0,576.0,72.0,235.0,505.0
19166,19166,166040,"Branchini, Merlot Rubicone",1858 Branchini 1858,Italy,EmiliaRomagna,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2017,750,44.412715789491514,11.654973281786205,260.0,86.0,393.0,500.0,72.0,159.0,448.0
19186,19186,166060,"Borgo Magredo, Merlot",SPA Genagricola SPA,Italy,Friuli Venezia Giulia,,,,Merlot,,,,,,,,,,,,Red,Table,13,15~17,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2018,750,46.09570084527681,12.846088735832206,321.0,164.0,208.0,602.0,69.0,359.0,433.0
19188,19188,166062,"Torre Rosazza, Altromerlot",SPA Genagricola SPA,Italy,Friuli Venezia Giulia,,,,Merlot,,,,,,,,,,,,Red,Table,14.5,15~17,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750,46.021077879190194,13.41307465858648,363.0,145.0,232.0,438.0,64.0,308.0,461.0
19212,19212,166087,Serprimo Rosso,Poggio Di Guardia,Italy,Toscana,,,,Merlot,Cabernet Sauvignon,Sangiovese,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,54000,2018,750,43.527772544217164,11.425999159894275,271.0,116.0,235.0,702.0,66.0,303.0,462.0
19214,19214,166089,Poggio Di Guardia Rosso,Poggio Di Guardia,Italy,Toscana,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,Rebo,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY2,BODY5,TANNIN4,152000,2016,750,43.527772544217164,11.425999159894275,271.0,116.0,235.0,702.0,66.0,303.0,462.0
19328,19328,166234,"Famiglia Cotarella, Sodale Merlot",Famiglia Cotarella,Italy,Lazio,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750,42.65212666867509,12.24430305796964,266.0,104.0,292.0,290.0,74.0,248.0,460.0
19342,19342,166257,"Podere La Regola, Ligustro",Podere La Regola,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2017,750,43.36527052222222,10.593618455555555,291.0,103.0,329.0,462.0,71.0,321.0,350.0
19349,19349,166268,"Rocca delle Macie, Rubizzo",Rocca delle Macie,Italy,Toscana,,,,Merlot,Sangiovese,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2017,750,43.436326143337055,11.271265190068254,263.0,95.0,333.0,339.0,76.0,310.0,358.0
19353,19353,166272,"Rocca di Castagnoli, La Pratola",Rocca di Castagnoli,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2013,750,43.461669783333335,11.43091450256181,326.0,97.0,349.0,611.0,67.0,286.0,365.0
19475,19475,166415,"Paraschos, Ï€ Merlot",Paraschos,Italy,Friuli Venezia Giulia,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,84000,2012,750,45.96583257911489,13.589925280002905,333.0,97.0,252.0,564.0,57.0,283.0,465.0
19592,19592,166544,"Ca'di Rajo, Merlot",Cadi Rajo Wines,Italy,Veneto,,,,Merlot,,,,,,,,,,,,Red,Table,12~13,15~17,SWEET1,ACIDITY3,BODY3,TANNIN4,37000,2018,750,45.81187754459006,12.397202099049755,290.0,129.0,298.0,591.0,69.0,237.0,465.0
19607,19607,166559,"Poggio al Chiuso, Voltaccia 49 Rosso",Poggio al Chiuso,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,15~17,SWEET1,ACIDITY3,BODY3,TANNIN3,80000,2015,750,43.56893122619531,11.16702619894823,284.0,125.0,327.0,338.0,74.0,300.0,373.0
19978,19978,166944,"Villa A Sesta, VAS Toscana IGT",Villa A Sesta,Italy,Toscana,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,110000,2013,750,43.38530277204741,11.479270878141783,268.0,81.0,415.0,303.0,74.0,261.0,324.0
20023,20023,166990,"Omina Romana, Hermes Diactoros Rosso ",Omina Romana,Italy,Lazio,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,76000,2014,750,41.640162015265076,12.736918336972524,277.0,90.0,362.0,282.0,71.0,282.0,356.0
20024,20024,166991,"Omina Romana, Merlot ",Omina Romana,Italy,Lazio,,,,Merlot,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,160000,2013,750,41.640162015265076,12.736918336972524,277.0,90.0,362.0,282.0,71.0,282.0,356.0
20026,20026,166993,"Omina Romana, Linea Ars Magna Merlot ",Omina Romana,Italy,Lazio,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY4,TANNIN5,460000,2015,750,41.640162015265076,12.736918336972524,277.0,90.0,362.0,282.0,71.0,282.0,356.0
20076,20076,167046,"Terpin, Rosso",Terpin,Italy,Friuli Venezia Giulia,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2014,750,45.9831085,13.5870828,374.0,107.0,279.0,653.0,63.0,203.0,518.0
20097,20097,167068,"Draga, Miklus Collio Rosso",Draga,Italy,Friuli Venezia Giulia,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2015,750,45.9831085,13.5870828,374.0,107.0,279.0,653.0,63.0,203.0,518.0
20139,20139,167111,"Petra, Quercegobbe 10 Anniversary",Petra,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,170000,2010,750,43.05264453636364,10.703719358013432,258.0,109.0,256.0,277.0,76.0,325.0,419.0
20785,20785,167773,Prima Pietra Verona Rosso,Cantina di Monteforte,Italy,Veneto,Verona,,,Merlot,Cabernet Sauvignon,Corvina,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2018,750,45.42402070034508,11.290826526013875,255.0,98.0,270.0,486.0,69.0,300.0,430.0
20906,20906,167894,Asio Otus Rosso,MGM Mondo del Vino,Italy,Cabernet Sauvignon,,,,Merlot,Syrah & Shiraz,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,0,0,44.201889158627786,12.074302333918032,276.0,105.0,364.0,510.0,76.0,162.0,474.0
20953,20953,167943,"Tenuta di Arceno, Arcanum Il Fauno",Tenuta di Arceno,Italy,Toscana,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,Petit Verdot,,,,,,,,,Red,Table,14.5~15.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN5,110000,2017,750,43.38041694654169,11.511969685448863,307.0,85.0,331.0,544.0,70.0,282.0,387.0
21241,21241,168330,"Brancaia, Il Rosato",Brancaia,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Rose,"Appetizer, Table",12.5,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,0,2019,750,43.4904233888889,11.378226782270215,311.0,94.0,302.0,497.0,71.0,356.0,342.0
21255,21255,168347,"San Felice, Contrada",San Felice,Italy,Toscana,,,,Merlot,Sangiovese,Cabernet Sauvignon,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2017,750,43.350811496875004,11.467902484559106,279.0,97.0,377.0,538.0,71.0,272.0,351.0
21259,21259,168351,"Castellare, Poggio Al Merli ",Castellare di Castellina,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,268000,2018,750,43.445987110714285,11.27937853016592,278.0,100.0,310.0,404.0,74.0,351.0,339.0
