,id,name,producer,nation,local1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml,latitudine,longitudine,cec,cfvo,clay,nitrogen,phh2o,sand,silt,tempmax,tempmin,temp,dew,humidity,precip,windspeed,solarradiation,solarenergy,uvindex,score
0,137591,"Citra, Merlot",Citra,Italy,,Red,Table,13,16~18,1,3,4,3,0,2017,750,42.353677666210025,14.386794179003427,292.0,111.0,330.0,375.0,73.0,229.0,441.0,26.161500000000004,14.643000000000002,20.74,13.112,64.84949999999999,56.89,20.335500000000003,277.171,23.9225,8.37,3.1
1,137738,"Geografico, Pulleraia",Geografico,Italy,Toscana,Red,Table,13~14,16~18,1,3,4,4,108000,2012,750,43.461669783333335,11.43091450256181,326.0,97.0,349.0,611.0,67.0,286.0,365.0,26.693,14.038,20.396,11.142,60.377,420.88,17.922,269.829,23.305,8.17,3.8
2,137960,"Castello di Ama, L'Apparita",Castello di Ama,Italy,Toscana,Red,Table,14~15,16~18,1,4,5,5,500000,2014,750,43.4336534,11.4003142,310.0,116.0,307.0,352.0,74.0,349.0,344.0,24.8185,13.560000000000002,19.1435,12.3925,68.16149999999999,335.44,16.6615,256.6615,22.162000000000003,7.83,4.3
3,138381,Masseto,Ornellaia,Italy,Toscana,Red,Table,,,2,4,5,5,1900000,2016,750,43.2340065,10.6179334,233.0,102.0,293.0,365.0,75.0,356.0,352.0,25.7405,15.362,20.554,14.618000000000002,71.43,228.92,19.261,275.157,23.7595,8.33,4.7
4,139447,"Folonari, Bolgheri Campo Al Mare",Tenute Ambrogio e Giovanni Folonari,Italy,Toscana,Red,Table,14,16~18,1,3,4,4,0,2007,750,43.62841336201637,11.2857564239827,247.0,120.0,328.0,564.0,69.0,269.0,403.0,24.8735,12.259499999999996,18.3315,10.3645,63.2634,265.14,22.111,,,,3.8
5,139495,"Maculan, Brentino",Maculan,Italy,Veneto,Red,Table,13.5,16~18,1,3,4,3,0,2006,750,45.701474947826085,11.57092290652174,305.0,188.0,309.0,534.0,73.0,221.0,470.0,22.344,13.6375,17.938000000000002,11.76,69.94265,757.76,13.3555,,,,3.8
6,139545,"Tenimenti Angelini, Tuttobene Rosso",Tenimenti Angelini,Italy,Toscana,Red,Table,13,16~18,1,3,3,3,0,2010,750,43.05660960869566,11.48519057614864,254.0,159.0,336.0,427.0,72.0,283.0,381.0,22.8795,13.25,18.1395,11.8035,69.15100000000001,280.69,18.709,259.45,22.4075,7.87,3.2
7,139667,Gualdo del Re l'Rennero,Gualdo del Re,Italy,Toscana,Red,Table,13.5,18~20,1,3,4,4,242000,2001,750,43.05264453636364,10.703719358013432,258.0,109.0,256.0,277.0,76.0,325.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
8,139686,"Brancaia, Il Blu",Brancaia,Italy,Toscana,Red,Table,13,16~18,1,4,4,4,260000,2016,750,43.4904233888889,11.378226782270216,311.0,94.0,302.0,497.0,71.0,356.0,342.0,26.237,14.457,20.229,13.295,67.68400000000001,292.81000000000006,15.246,263.817,22.798,7.99,4.4
9,139690,La Rampa di Fugnano Gisele,la Rampa di Fugnano,Italy,Toscana,Red,Table,14,17~19,1,3,4,4,162800,2002,750,43.46099824886364,11.042663037772762,273.0,83.0,308.0,333.0,77.0,303.0,390.0,24.941,14.3725,19.517,12.9685,68.80680000000001,499.48,19.2305,,,,3.9
10,139746,Poggio al Sole Seraselva,Poggio Al Sole,Italy,Toscana,Red,Table,14,17~19,1,3,4,4,119000,2001,750,43.571635524009785,11.266433523493264,317.0,109.0,367.0,519.0,71.0,297.0,336.0,30.446,17.375999999999998,23.4675,13.0925,56.8655,136.9,23.4355,251.2015,21.701,8.65,4.2
11,139976,"Casa di Terra, Lenaia Rosso",Casa di Terra,Italy,Toscana,Red,Table,13,16~18,1,4,3,3,38000,2017,750,43.20347624443964,10.586409110316495,260.0,127.0,249.0,307.0,74.0,366.0,385.0,24.8485,14.944,20.0705,14.048000000000002,70.9945,198.83,19.231,282.035,24.348,8.415,3.9
12,140019,"Falesco, Montiano",Falesco Vitiano,Italy,Lazio,Red,Table,14~15,16~18,1,3,4,4,158000,2009,750,42.65212038128582,12.244428530203464,266.0,104.0,292.0,290.0,74.0,248.0,460.0,24.5945,14.7745,19.817,13.198000000000002,68.2178,474.24,18.7035,,,,4.0
13,140079,"Le Macchiole, Messorio",Le Macchiole,Italy,Toscana,Red,Table,14~15,16~18,1,3,5,4,660000,2014,750,43.20347624443964,10.586409110316495,260.0,127.0,249.0,307.0,74.0,366.0,385.0,23.024,14.0725,18.683,13.5385,74.051,301.87,16.1975,265.18949999999995,22.9015,8.035,4.4
14,140155,"Roberto Voerzio, Langhe Da Uva Merlot Fontanazza",Roberto Voerzio,Italy,Piemonte,Red,Table,14~14.5,16~18,1,4,5,4,250000,2011,750,44.64312336147,7.929689684373156,241.0,134.0,252.0,302.0,74.0,298.0,451.0,22.237,15.409,18.654,12.0945,67.5865,614.23,14.917,260.9925,22.536,7.865,4.3
15,140160,"San Giusto a Rentennano, La Ricolma",San Giusto a Rentennano,Italy,Toscana,Red,Table,14.5,16~18,1,3,4,3,0,2009,750,43.461669783333335,11.43091450256181,326.0,97.0,349.0,611.0,67.0,286.0,365.0,26.368,13.6455,19.9655,11.193,61.53125,352.46000000000004,18.252,,,,4.3
16,140192,Tenuta di Trinoro,Tenuta di Trinoro,Italy,Toscana,Red,Table,14~15,16~18,1,3,5,4,0,2017,750,42.99548196956521,11.868507327818769,249.0,127.0,314.0,432.0,74.0,275.0,411.0,24.8565,12.913000000000002,19.01,10.3725,61.653,230.83,16.473499999999998,284.1975,24.526499999999995,8.545,4.4
17,140790,"Castellare, Poggio Allla Guardia",Castellare di Castellina,Italy,Toscana,Red,Table,14,16~18,1,3,4,3,44000,2014,750,43.445987110714285,11.27937853016592,278.0,100.0,310.0,404.0,74.0,351.0,339.0,24.858,13.918,19.339,12.750500000000002,68.68650000000001,327.77,16.894499999999997,256.6615,22.162000000000003,7.83,3.7
18,141393,villa M Romeo,Gianni Gagliardo,Italy,Veneto,Red,Table,11,15~17,4,2,2,2,17000,0,750,44.65130856346992,7.959115310838635,273.0,106.0,280.0,284.0,76.0,295.0,425.0,21.796,13.645,17.226999999999997,11.423,70.6815,319.0,14.156,266.8695,23.0315,8.07,3.5
19,141429,Arceno Prima Voce,Jackson wine International Kendall Jackson,Italy,Toscana,Red,Table,13.5,15~18,1,3,3,3,90000,2006,750,43.38037826115361,11.511872720831898,307.0,85.0,331.0,544.0,70.0,282.0,387.0,24.8945,13.526999999999996,19.276,11.235,63.41309999999999,302.73,14.703499999999998,,,,3.5
20,141497,"Tua Rita, Redigaffi",Tua Rita,Italy,Toscana,Red,Table,15,16~18,1,4,4,4,0,2014,750,43.05264453636364,10.703719358013432,258.0,109.0,256.0,277.0,76.0,325.0,419.0,23.243,13.9805,18.79,13.172,72.08149999999999,273.16,16.361,261.9325,22.6255,7.985,4.6
21,141866,Rosso del Giorno,GCF  GCF Group,Italy,,Red,Table,12~13,16~18,1,3,3,3,20000,2005,750,38.943136294050326,16.463642962234065,256.0,192.0,315.0,393.0,68.0,342.0,343.0,22.843000000000004,13.751,18.6185,13.501499999999998,73.14895,253.6,22.754,,,,4.0
22,143384,"Castiglion del Bosco, Dainero",Castiglion del Bosco,Italy,Toscana,Red,Table,14,16~18,1,3,4,3,0,2015,750,43.05660960869566,11.48519057614864,254.0,159.0,336.0,427.0,72.0,283.0,381.0,24.774,14.401,19.8615,12.760500000000002,67.0475,137.02,17.8495,263.9475,22.7865,7.98,3.6
23,143419,"Giacomo Marengo, Elena",Giacomo Marengo,Italy,Toscana,Red,Table,13.5,16~18,1,3,3,3,120000,2002,750,43.33029052608695,11.727208821739133,275.0,108.0,296.0,296.0,77.0,304.0,400.0,25.1455,12.7715,19.2715,12.256999999999998,66.91985,568.24,20.0675,,,,3.7
24,143427,"Planeta, Merlot",Planeta Wines,Italy,Sicilia,Red,Table,14.5,16~18,1,3,5,4,0,2003,750,37.62745122405114,13.079737510581865,201.0,146.0,350.0,344.0,70.0,283.0,367.0,25.919500000000003,17.5675,22.157,15.954,70.21170000000001,203.05,21.219500000000004,,,,3.7
25,143434,"Querciabella, Palafreno Toscana",Querciabella,Italy,Toscana,Red,Table,14~15,16~18,1,4,4,4,5600000,2000,6000,43.57263293333333,11.331659908131195,317.0,94.0,349.0,532.0,67.0,288.0,364.0,26.0815,14.8785,20.5015,13.9335,69.12369999999999,295.57,20.7295,,,,4.3
26,144756,"Tenuta di Trinoro, Palazzi",Tenuta di Trinoro,Italy,Toscana,Red,Table,14~15,16~18,1,3,4,4,0,2017,750,42.99548196956521,11.868507327818769,249.0,127.0,314.0,432.0,74.0,275.0,411.0,24.8565,12.913000000000002,19.01,10.3725,61.653,230.83,16.473499999999998,284.1975,24.526499999999995,8.545,4.0
27,144861,"Castellare, Rocca di Frassinello",Castellare di Castellina,Italy,Toscana,Red,Table,14~15,16~18,1,3,4,3,127000,2014,750,43.445987110714285,11.27937853016592,278.0,100.0,310.0,404.0,74.0,351.0,339.0,24.858,13.918,19.339,12.750500000000002,68.68650000000001,327.77,16.894499999999997,256.6615,22.162000000000003,7.83,4.0
28,144868,"Tenimenti, Maria Merlot",Tenimenti,Italy,Sicilia,Red,Table,14,15~17,1,3,3,3,44000,2007,750,43.05660960869566,11.48519057614864,254.0,159.0,336.0,427.0,72.0,283.0,381.0,23.557,12.784,18.2275,11.5165,68.31819999999999,195.54,21.2385,,,,3.1
29,145130,"Michele Satta, Piastraia Bolgheri",Michele Satta,Italy,Toscana,Red,Table,,,1,3,3,3,0,2002,750,43.18233249000773,10.556511443840163,238.0,128.0,302.0,346.0,74.0,317.0,381.0,24.058000000000003,13.907499999999995,18.8465,13.499,74.02635000000001,490.89,24.848500000000005,,,,4.6
30,145484,"Casa Vitivinicola Tinazzi, Tinazzi Dugal",Casa Vitivinicola Tinazzi,Italy,Cabernet Sauvignon,Red,Table,14,16~18,1,3,4,3,0,2006,750,45.48543168958465,10.773233181002071,268.0,152.0,288.0,522.0,68.0,295.0,416.0,24.7185,15.02,19.8625,12.5015,66.5663,568.7600000000001,15.279000000000002,,,,4.1
31,146080,"Ca'del Bosco, Curtefranca Rosso",Cadel Bosco Cadel Bosco,Italy,Lombardia,Red,Table,,,1,3,4,3,0,2004,750,45.59462093968799,9.99093794156159,265.0,137.0,269.0,652.0,64.0,293.0,438.0,23.6465,14.1835,18.798,10.755,63.06625,397.51,14.0055,,,,3.9
32,146178,Marchesi di Gresy Solomerlot,Marchesi di Gresy,Italy,Piemonte,Red,Table,13.5,16~19,1,3,3,3,136000,2004,750,44.7254469,8.0806959,282.0,138.0,223.0,311.0,77.0,329.0,448.0,21.2675,13.33,17.298,9.841500000000002,64.03985,374.74,13.095999999999998,,,,4.2
33,146839,"Petra, Zingari",Petra,Italy,Toscana,Red,Table,,,1,3,4,3,46000,2017,750,43.05264453636364,10.703719358013432,258.0,109.0,256.0,277.0,76.0,325.0,419.0,25.009,14.9175,20.173,13.839,69.69,151.39,19.9705,280.7165,24.2415,8.405,3.9
34,147146,"Poggio Salvi, Lavischio",Poggio Salvi,Italy,Toscana,Red,Table,,,1,3,3,3,0,2007,750,43.27881797997312,11.236230651884494,314.0,144.0,278.0,302.0,75.0,293.0,429.0,25.098000000000003,12.942,19.1325,11.73,66.07490000000001,213.99,19.806,,,,3.6
35,147187,"La Montecchia, Ca'emo",La Montecchia,Italy,Veneto,Red,Table,12,16~18,1,3,4,3,54000,2007,750,45.3985762,11.7801507,253.0,109.0,303.0,493.0,72.0,248.0,449.0,25.225,15.402,20.197,13.414500000000002,68.34004999999999,470.54,13.259,,,,4.1
36,147197,"Petra, Quercegobbe",Petra,Italy,Toscana,Red,Table,14~15,16~18,1,3,5,4,130000,2017,750,43.05264453636364,10.703719358013432,258.0,109.0,256.0,277.0,76.0,325.0,419.0,25.009,14.9175,20.173,13.839,69.69,151.39,19.9705,280.7165,24.2415,8.405,4.1
37,147281,"Di Lenardo, Merlot",Di Lenardo,Italy,,Red,Table,13,16~18,1,3,4,3,0,2008,750,45.89400369652032,13.232994713961236,331.0,207.0,314.0,583.0,71.0,224.0,462.0,23.363000000000003,13.7235,18.544,12.453,69.87595,936.08,14.906999999999998,,,,3.6
38,147315,"Poliziano, In Violas Cortona",Poliziano Azienda Agricola Poliziano,Italy,Toscana,Red,Table,14,16~18,1,3,4,4,80000,2014,750,43.13493979497239,11.844398310779752,251.0,100.0,216.0,274.0,77.0,270.0,513.0,22.820500000000003,12.459,17.749,11.782,70.90050000000001,345.39,14.454499999999998,256.6615,22.162000000000003,7.83,3.9
39,147328,"Villa Pillo, Cingalino Rosso di Toscana",Villa Pillo,Italy,Toscana,Red,Table,13~14,16~18,1,3,4,3,55000,2018,750,43.5391127,10.954075,274.0,87.0,334.0,351.0,76.0,269.0,397.0,25.594,14.3815,19.9655,13.197,68.1515,273.9,18.0195,333.816,28.63150000000001,7.58,3.7
40,147332,"Cadel Vispo, Cruter",Cadel Vispo,Italy,Toscana,Red,Table,13.5,16~18,1,3,4,3,85000,2014,750,43.47057417923359,11.020946540933371,251.0,103.0,311.0,346.0,77.0,291.0,398.0,24.8755,14.182000000000002,19.4675,13.038,69.28399999999999,322.29,17.326999999999998,261.9325,22.6255,7.985,3.6
41,147583,"Col d'Orcia, Nearco Sant' Antimo",Col dOrcia,Italy,Toscana,Red,Table,14~15,15~17,1,3,5,4,0,2015,750,42.96724163589759,11.437818726116117,266.0,132.0,288.0,344.0,73.0,319.0,393.0,25.099,14.668,20.154,13.074000000000002,67.1755,122.79,19.0435,268.42400000000004,23.184,8.08,3.9
42,147651,"Fornacelle, Guarda Boschi",Fornacelle,Italy,Toscana,Red,Table,13.5,16~18,1,3,4,4,0,2007,750,43.17627333876615,10.595199351260264,251.0,118.0,282.0,281.0,76.0,364.0,354.0,22.9475,13.8835,18.2815,12.7215,72.79735000000001,248.09,22.405500000000004,,,,4.1
43,149825,Prima Pietra,Riparbella,Italy,Toscana,Red,Table,14.5,16~18,1,3,3,3,380000,2007,750,43.365522716449306,10.623234599415987,306.0,143.0,327.0,562.0,65.0,309.0,363.0,23.831499999999995,13.9785,18.8335,12.4715,69.23859999999999,272.67,20.339,,,,4.4
44,149827,Dainero,Riparbella,Italy,Toscana,Red,Table,13.5,16~18,1,3,3,3,100000,2008,750,43.365522716449306,10.623234599415987,306.0,143.0,327.0,562.0,65.0,309.0,363.0,24.6645,14.242499999999998,19.4545,13.133000000000004,69.6505,322.75,19.115,,,,3.6
45,150532,"Bastianich, Vespa Rosso",Bastianich,Italy,Friuli Venezia Giulia,Red,Table,13.5,16~18,1,3,4,4,140000,2008,750,46.07571290833998,13.44809182438856,337.0,155.0,243.0,502.0,65.0,325.0,432.0,22.7275,11.686999999999998,17.7895,11.7315,69.7634,1136.76,14.802000000000003,,,,3.8
46,150578,"Duemani, Altrovino",Duemani,Italy,Toscana,Red,Table,13.5,16~18,1,3,4,3,0,2016,750,43.36527052222222,10.593618455555555,291.0,103.0,329.0,462.0,71.0,321.0,350.0,25.543500000000005,15.167,20.2865,14.237,71.1025,268.95,18.0775,275.157,23.7595,8.33,4.0
47,150654,"Bollini, Merlot ",Empson Neil  Maria Empson,Italy,TrentinoAlto Adige,Red,Table,13,16~18,1,3,3,3,0,2013,750,46.322005262987936,11.28803473547304,279.0,206.0,227.0,847.0,63.0,443.0,330.0,20.7755,3.9125,11.7315,5.636,69.641,492.84,23.5995,219.398,18.9475,6.825,3.5
48,150659,"Cantina Colli Euganei, Notte di Galileo Riserva ",Cantina Colli Euganei,Italy,Veneto,Red,Table,14~15,16~18,1,3,3,1,100000,2016,750,45.30257394914711,11.763046291050657,330.0,132.0,434.0,540.0,69.0,148.0,418.0,24.422,15.2225,19.808,13.581,69.7,656.53,14.0285,243.285,21.007,7.395,3.9
49,150732,"La Massa, Giorgio Primo",La Massa,Italy,Toscana,Red,Table,,,1,3,5,4,300000,2012,750,43.54882699798048,11.287369783041678,294.0,95.0,319.0,464.0,71.0,336.0,344.0,26.7645,14.6505,20.7075,11.6785,60.8115,404.84,18.297000000000004,266.059,22.9785,8.02,4.3
50,150806,Argentiera Giorgio,Argentiera Tenuta Argentiera Poggio Argentiera,Italy,Toscana,Red,Table,15,16~18,1,4,5,5,0,2012,750,43.16562345787589,10.54172512207744,249.0,108.0,295.0,564.0,69.0,346.0,360.0,24.390500000000003,14.5365,19.639,14.3595,74.2085,221.59,23.121,274.1415,23.676,8.275,4.3
51,151019,Lamacia Rosso,Tenimenti Association,Italy,Friuli Venezia Giulia,Red,Table,12,15~17,2,3,3,3,25000,2010,750,45.41850010228157,11.241511455047506,267.0,133.0,264.0,614.0,69.0,302.0,434.0,24.8095,14.779000000000002,19.814,13.6515,72.4445,638.29,16.2925,240.0805,20.727,7.375,3.3
52,152416,"Ca'Lojera, Monte della Guardia Rosato",Ca Lojera,Italy,Lombardia,Rose,Table,13,12~14,1,3,3,1,0,2011,750,45.452386673570814,10.641535337856409,322.0,137.0,246.0,553.0,69.0,358.0,396.0,25.857,15.4075,20.6825,13.034,65.32,423.71,16.164,253.917,21.9245,7.685,3.9
53,152421,"Collazzi, Liberta",Collazzi,Italy,Toscana,Red,Table,14,16~18,1,3,3,3,0,2010,750,43.71823215299291,11.19752684135428,247.0,114.0,300.0,425.0,74.0,297.0,403.0,25.081,13.821000000000002,19.414,12.873,69.16850000000001,506.17,20.1215,258.431,22.306,7.78,3.6
54,152460,"Le Macchiole, Bolgheri Rosso",Le Macchiole,Italy,Toscana,Red,Table,14,16~18,1,3,4,3,0,2016,750,43.20347624443964,10.586409110316495,260.0,127.0,249.0,307.0,74.0,366.0,385.0,24.2755,15.169499999999998,19.869,14.5935,73.895,249.24,19.4305,275.157,23.7595,8.33,4.1
55,153341,Castellare Baffonero,Castellare di Castellina,Italy,Toscana,Red,Table,14~15,16~18,1,3,5,4,494000,2013,750,43.445987110714285,11.27937853016592,278.0,100.0,310.0,404.0,74.0,351.0,339.0,25.211,14.049,19.593,12.305500000000002,66.653,373.26,15.7185,257.26300000000003,22.201000000000004,7.87,3.3
56,153344,"Feudi Del Pisciotto, Valentino",Feudi del Pisciotto,Italy,Sicilia,Red,Table,14,16~18,1,3,4,3,66000,2015,750,37.11575677655343,14.411986110564785,222.0,117.0,359.0,230.0,76.0,258.0,382.0,25.268500000000003,15.704,20.8655,13.990500000000004,66.88950000000001,213.68,19.575,283.3885,24.465,8.755,3.9
57,154047,"Cantina Colli Euganei, MotoRosso",Cantina Colli Euganei,Italy,Veneto,Red,Table,12.5,16~18,1,3,3,3,0,2012,750,45.302574,11.763046,330.0,132.0,434.0,540.0,69.0,148.0,418.0,25.7525,15.932000000000002,20.710500000000003,14.268,69.54350000000001,393.75,12.802,253.4485,21.8825,7.635,3.3
58,156938,"Sassoregale, Merlot",Sassoregale Tenuta Sassoregale,Italy,Toscana,Red,Table,,,1,3,4,3,0,2011,750,43.60827611440235,11.303777155034409,271.0,120.0,340.0,380.0,75.0,248.0,412.0,26.862,14.605,20.671,11.8715,60.976000000000006,268.89,18.56,270.4355,23.359000000000005,8.195,3.1
59,156952,"Donnafugata, Angheli",Donnafugata,Italy,Sicilia,Red,Table,13,16~18,1,3,4,4,79000,2016,750,37.79586601848224,12.465858454596376,201.0,116.0,377.0,212.0,72.0,250.0,373.0,25.6065,16.8295,21.3575,16.273,74.693,94.2,28.0475,282.3495,24.377,8.735,3.9
60,157075,"Feudi, di San Gregorio Patrimo",Feudi Feudi di San Gregorio,Italy,Campania,Red,Table,14,10~12,1,3,4,3,450000,2013,750,40.9111903792142,14.867403737682803,260.0,133.0,312.0,379.0,73.0,304.0,384.0,23.4345,14.7715,19.0365,12.865,69.1635,244.34,19.3945,274.29600000000005,23.679,8.41,4.2
61,157662,Ornellaia Le Serre Nuove,Ornellaia,Italy,Toscana,Red,Table,14.5,15~17,1,4,3,3,165000,2012,750,43.2340065,10.6179334,233.0,102.0,293.0,365.0,75.0,356.0,352.0,26.005,14.68,20.370500000000003,14.398,71.5555,269.15,21.367,274.1415,23.676,8.275,4.2
62,158340,"Feudi del Pisciotto, Baglio Syrah Merlot",Feudi del Pisciotto,Italy,Sicilia,Red,Table,13.5,16~18,1,3,3,3,55000,2014,750,37.115731110448216,14.411943195222069,222.0,117.0,359.0,230.0,76.0,258.0,382.0,24.996,15.36,20.4865,13.425,66.165,72.0,21.847,287.962,24.8675,8.905,3.5
63,159284,"La Tordera, Gabry Rose Spumante",La Tordera,Italy,Veneto,Sparkling,Table,12,6~8,1,3,3,1,58000,0,750,45.8616409,12.0387488,270.0,158.0,289.0,625.0,66.0,291.0,420.0,24.386,15.0345,19.7415,14.2945,73.127,570.4300000000001,15.952,239.73,20.708,7.38,3.8
64,160460,Giacomo Marengo Armire Langhe,Giacomo Marengo,Italy,Piemonte,Red,Table,,,1,3,4,4,450000,2005,750,43.33029052608695,11.727208821739133,275.0,108.0,296.0,296.0,77.0,304.0,400.0,24.8785,13.033499999999998,19.215,11.305,63.92759999999999,207.47000000000003,19.107000000000003,,,,4.3
65,161721,"Barone Montalto, Collezione di Famiglia Merlot",Barone Montalto,Italy,Sicilia,Red,Table,14~15,16~18,1,3,4,3,62500,2014,750,37.79586601848224,12.465858454596376,201.0,116.0,377.0,212.0,72.0,250.0,373.0,25.025,16.705,20.997,16.634500000000003,78.25399999999999,133.87,25.997,282.9485,24.443,8.78,3.9
66,162922,"Poggio Torselli, Raniero",Poggio Torselli,Italy,Toscana,Red,Table,,,1,3,3,3,0,2015,750,43.66984987655893,11.196492380114918,229.0,94.0,288.0,394.0,74.0,402.0,310.0,26.472,14.313000000000002,20.4505,12.1485,62.91299999999999,319.99,19.6335,264.085,22.797000000000004,7.975,3.8
67,162935,"Mondello, Rinero Veneto Desmonta",Mondello Wines,Italy,Veneto,Red,Table,,,1,3,4,3,0,2013,750,45.401528909139735,11.229835868539752,297.0,130.0,238.0,531.0,69.0,295.0,466.0,24.4505,15.184,19.8385,13.303,68.87950000000001,661.28,16.4775,236.4685,20.4265,7.29,3.5
68,162936,"Mondello, Nero d'Arcole Desmonta",Mondello Wines,Italy,Veneto,Red,Table,,,1,4,4,3,0,2012,750,45.401528909139735,11.229814410868393,297.0,130.0,238.0,531.0,69.0,295.0,466.0,26.497000000000003,16.0565,21.2815,14.954,71.957,386.41,16.363000000000003,253.535,21.888,7.69,3.9
69,162938,"Bixio, Denxo Desmonta Super Appassimento",Bixio Poderi,Italy,Veneto,Red,Table,,,1,3,3,3,0,0,750,45.401552376008695,11.229623726211152,297.0,130.0,238.0,531.0,69.0,295.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
70,162961,"Vignano Fanucci, Merlino",Vignano Fanucci,Italy,Toscana,Red,Table,,,1,3,3,3,0,2015,750,43.55664438103482,11.13055243963164,265.0,112.0,313.0,440.0,74.0,275.0,412.0,25.732,14.127,19.9755,12.094,64.07600000000001,338.13,19.1985,264.085,22.797000000000004,7.975,3.8
71,163009,"Le Fabbriche, Merlot Palma",Le Fabbriche,Italy,Toscana,Red,Table,,,1,3,3,3,0,2015,750,43.30160717081344,11.746716738618668,271.0,107.0,287.0,270.0,77.0,282.0,430.0,25.843000000000004,13.4115,19.7465,12.4685,66.6055,342.04,17.3415,263.9475,22.7865,7.98,3.5
72,163084,"Poggio al Tesoro, Il Seggio ",Poggio al Tesoro,Italy,Toscana,Red,Table,14,16~18,1,3,4,4,138000,2017,750,43.21763225970668,10.614775580769296,240.0,124.0,247.0,263.0,76.0,388.0,366.0,25.09,15.124,20.2585,14.204499999999998,70.77,217.55,18.233,282.035,24.348,8.415,4.1
