"","id","name","producer","nation","abv","degree","sweet","acidity","body","tannin","price","year","ml","latitudine","longitudine","cec","cfvo","clay","nitrogen","phh2o","sand","silt","tempmax","tempmin","temp","dew","humidity","precip","windspeed","solarradiation","solarenergy","uvindex","score","local1_Cat","type_Hard","type_Red","type_Rose","type_Sparkling","type_White","use_Appetizer..Table","use_Etc","use_Table"
"1",137591,"Citra, Merlot","Citra","Italy",13,17,1,3,4,3,NA,2017,750,42.35367766621,14.3867941790034,292,111,330,375,73,229,441,26.1615,14.643,20.74,13.112,64.8495,56.89,20.3355,277.171,23.9225,8.37,3.1,0,0,1,0,0,0,0,0,1
"2",137738,"Geografico, Pulleraia","Geografico","Italy",13.5,17,1,3,4,4,108000,2012,750,43.4616697833333,11.4309145025618,326,97,349,611,67,286,365,26.693,14.038,20.396,11.142,60.377,420.88,17.922,269.829,23.305,8.17,3.8,12,0,1,0,0,0,0,0,1
"3",137960,"Castello di Ama, L'Apparita","Castello di Ama","Italy",14.5,17,1,4,5,5,500000,2014,750,43.4336534,11.4003142,310,116,307,352,74,349,344,24.8185,13.56,19.1435,12.3925,68.1615,335.44,16.6615,256.6615,22.162,7.83,4.3,12,0,1,0,0,0,0,0,1
"4",138381,"Masseto","Ornellaia","Italy",15,0,2,4,5,5,1900000,2016,750,43.2340065,10.6179334,233,102,293,365,75,356,352,25.7405,15.362,20.554,14.618,71.43,228.92,19.261,275.157,23.7595,8.33,4.7,12,0,1,0,0,0,0,0,1
"5",139447,"Folonari, Bolgheri Campo Al Mare","Tenute Ambrogio e Giovanni Folonari","Italy",14,17,1,3,4,4,NA,2007,750,43.6284133620164,11.2857564239827,247,120,328,564,69,269,403,24.8735,12.2595,18.3315,10.3645,63.2634,265.14,22.111,269.622375,23.288875,8.21145,3.8,12,0,1,0,0,0,0,0,1
"6",139495,"Maculan, Brentino","Maculan","Italy",13.5,17,1,3,4,3,NA,2006,750,45.7014749478261,11.5709229065217,305,188,309,534,73,221,470,22.344,13.6375,17.938,11.76,69.94265,757.76,13.3555,221.10396,19.09344,6.93475,3.8,15,0,1,0,0,0,0,0,1
"7",139545,"Tenimenti Angelini, Tuttobene Rosso","Tenimenti Angelini","Italy",13,17,1,3,3,3,NA,2010,750,43.0566096086957,11.4851905761486,254,159,336,427,72,283,381,22.8795,13.25,18.1395,11.8035,69.151,280.69,18.709,259.45,22.4075,7.87,3.2,12,0,1,0,0,0,0,0,1
"8",139667,"Gualdo del Re l'Rennero","Gualdo del Re","Italy",13.5,19,1,3,4,4,242000,2001,750,43.0526445363636,10.7037193580134,258,109,256,277,76,325,419,24.6454,13.9689,19.3419,13.4674,72.0699,223.23,32.3225,0,0,8.006,4.2,12,0,1,0,0,0,0,0,1
"9",139686,"Brancaia, Il Blu","Brancaia","Italy",13,17,1,4,4,4,260000,2016,750,43.4904233888889,11.3782267822702,311,94,302,497,71,356,342,26.237,14.457,20.229,13.295,67.684,292.81,15.246,263.817,22.798,7.99,4.4,12,0,1,0,0,0,0,0,1
"10",139690,"La Rampa di Fugnano Gisele","la Rampa di Fugnano","Italy",14,18,1,3,4,4,162800,2002,750,43.4609982488636,11.0426630377728,273,83,308,333,77,303,390,24.941,14.3725,19.517,12.9685,68.8068,499.48,19.2305,264.829365,22.867455,7.9687,3.9,12,0,1,0,0,0,0,0,1
"11",139746,"Poggio al Sole Seraselva","Poggio Al Sole","Italy",14,18,1,3,4,4,119000,2001,750,43.5716355240098,11.2664335234933,317,109,367,519,71,297,336,30.446,17.376,23.4675,13.0925,56.8655,136.9,23.4355,251.2015,21.701,8.65,4.2,12,0,1,0,0,0,0,0,1
"12",139976,"Casa di Terra, Lenaia Rosso","Casa di Terra","Italy",13,17,1,4,3,3,38000,2017,750,43.2034762444396,10.5864091103165,260,127,249,307,74,366,385,24.8485,14.944,20.0705,14.048,70.9945,198.83,19.231,282.035,24.348,8.415,3.9,12,0,1,0,0,0,0,0,1
"13",140019,"Falesco, Montiano","Falesco Vitiano","Italy",14.5,17,1,3,4,4,158000,2009,750,42.6521203812858,12.2444285302035,266,104,292,290,74,248,460,24.5945,14.7745,19.817,13.198,68.2178,474.24,18.7035,260.91494,22.523885,7.9458,4,7,0,1,0,0,0,0,0,1
"14",140079,"Le Macchiole, Messorio","Le Macchiole","Italy",14.5,17,1,3,5,4,660000,2014,750,43.2034762444396,10.5864091103165,260,127,249,307,74,366,385,23.024,14.0725,18.683,13.5385,74.051,301.87,16.1975,265.1895,22.9015,8.035,4.4,12,0,1,0,0,0,0,0,1
"15",140155,"Roberto Voerzio, Langhe Da Uva Merlot Fontanazza","Roberto Voerzio","Italy",14.25,17,1,4,5,4,250000,2011,750,44.64312336147,7.92968968437316,241,134,252,302,74,298,451,22.237,15.409,18.654,12.0945,67.5865,614.23,14.917,260.9925,22.536,7.865,4.3,10,0,1,0,0,0,0,0,1
"16",140160,"San Giusto a Rentennano, La Ricolma","San Giusto a Rentennano","Italy",14.5,17,1,3,4,3,NA,2009,750,43.4616697833333,11.4309145025618,326,97,349,611,67,286,365,26.368,13.6455,19.9655,11.193,61.53125,352.46,18.252,269.194685,23.24941,8.1546,4.3,12,0,1,0,0,0,0,0,1
"17",140192,"Tenuta di Trinoro","Tenuta di Trinoro","Italy",14.5,17,1,3,5,4,NA,2017,750,42.9954819695652,11.8685073278188,249,127,314,432,74,275,411,24.8565,12.913,19.01,10.3725,61.653,230.83,16.4735,284.1975,24.5265,8.545,4.4,12,0,1,0,0,0,0,0,1
"18",140790,"Castellare, Poggio Allla Guardia","Castellare di Castellina","Italy",14,17,1,3,4,3,44000,2014,750,43.4459871107143,11.2793785301659,278,100,310,404,74,351,339,24.858,13.918,19.339,12.7505,68.6865,327.77,16.8945,256.6615,22.162,7.83,3.7,12,0,1,0,0,0,0,0,1
"19",141393,"villa M Romeo","Gianni Gagliardo","Italy",11,16,4,2,2,2,17000,2015,750,44.6513085634699,7.95911531083864,273,106,280,284,76,295,425,21.796,13.645,17.227,11.423,70.6815,319,14.156,266.8695,23.0315,8.07,3.5,15,0,1,0,0,0,0,0,1
"20",141429,"Arceno Prima Voce","Jackson wine International Kendall Jackson","Italy",13.5,16.5,1,3,3,3,90000,2006,750,43.3803782611536,11.5118727208319,307,85,331,544,70,282,387,24.8945,13.527,19.276,11.235,63.4131,302.73,14.7035,258.11522,22.2749,7.891,3.5,12,0,1,0,0,0,0,0,1
"21",141497,"Tua Rita, Redigaffi","Tua Rita","Italy",15,17,1,4,4,4,NA,2014,750,43.0526445363636,10.7037193580134,258,109,256,277,76,325,419,23.243,13.9805,18.79,13.172,72.0815,273.16,16.361,261.9325,22.6255,7.985,4.6,12,0,1,0,0,0,0,0,1
"22",141866,"Rosso del Giorno","GCF  GCF Group","Italy",12.5,17,1,3,3,3,20000,2005,750,38.9431362940503,16.4636429622341,256,192,315,393,68,342,343,22.843,13.751,18.6185,13.5015,73.14895,253.6,22.754,263.73993,22.75741,8.2284,4,3,0,1,0,0,0,0,0,1
"23",143384,"Castiglion del Bosco, Dainero","Castiglion del Bosco","Italy",14,17,1,3,4,3,NA,2015,750,43.0566096086957,11.4851905761486,254,159,336,427,72,283,381,24.774,14.401,19.8615,12.7605,67.0475,137.02,17.8495,263.9475,22.7865,7.98,3.6,12,0,1,0,0,0,0,0,1
"24",143419,"Giacomo Marengo, Elena","Giacomo Marengo","Italy",13.5,17,1,3,3,3,120000,2002,750,43.330290526087,11.7272088217391,275,108,296,296,77,304,400,25.1455,12.7715,19.2715,12.257,66.91985,568.24,20.0675,263.421985,22.741545,7.9781,3.7,12,0,1,0,0,0,0,0,1
"25",143427,"Planeta, Merlot","Planeta Wines","Italy",14.5,17,1,3,5,4,NA,2003,750,37.6274512240511,13.0797375105819,201,146,350,344,70,283,367,25.9195,17.5675,22.157,15.954,70.2117,203.05,21.2195,282.429585,24.384545,8.7385,3.7,11,0,1,0,0,0,0,0,1
"26",143434,"Querciabella, Palafreno Toscana","Querciabella","Italy",14.5,17,1,4,4,4,5600000,2000,6000,43.5726329333333,11.3316599081312,317,94,349,532,67,288,364,26.0815,14.8785,20.5015,13.9335,69.1237,295.57,20.7295,269.622375,23.288875,8.21145,4.3,12,0,1,0,0,0,0,0,1
"27",144756,"Tenuta di Trinoro, Palazzi","Tenuta di Trinoro","Italy",14.5,17,1,3,4,4,NA,2017,750,42.9954819695652,11.8685073278188,249,127,314,432,74,275,411,24.8565,12.913,19.01,10.3725,61.653,230.83,16.4735,284.1975,24.5265,8.545,4,12,0,1,0,0,0,0,0,1
"28",144861,"Castellare, Rocca di Frassinello","Castellare di Castellina","Italy",14.5,17,1,3,4,3,127000,2014,750,43.4459871107143,11.2793785301659,278,100,310,404,74,351,339,24.858,13.918,19.339,12.7505,68.6865,327.77,16.8945,256.6615,22.162,7.83,4,12,0,1,0,0,0,0,0,1
"29",144868,"Tenimenti, Maria Merlot","Tenimenti","Italy",14,16,1,3,3,3,44000,2007,750,43.0566096086957,11.4851905761486,254,159,336,427,72,283,381,23.557,12.784,18.2275,11.5165,68.3182,195.54,21.2385,259.71964,22.430425,7.8765,3.1,11,0,1,0,0,0,0,0,1
"30",145130,"Michele Satta, Piastraia Bolgheri","Michele Satta","Italy",14,0,1,3,3,3,NA,2002,750,43.1823324900077,10.5565114438402,238,128,302,346,74,317,381,24.058,13.9075,18.8465,13.499,74.02635,490.89,24.8485,274.36772,23.695135,8.2782,4.6,12,0,1,0,0,0,0,0,1
"31",145484,"Casa Vitivinicola Tinazzi, Tinazzi Dugal","Casa Vitivinicola Tinazzi","Italy",14,17,1,3,4,3,NA,2006,750,45.4854316895847,10.7732331810021,268,152,288,522,68,295,416,24.7185,15.02,19.8625,12.5015,66.5663,568.76,15.279,253.225175,21.864615,7.6695,4.1,2,0,1,0,0,0,0,0,1
"32",146080,"Ca'del Bosco, Curtefranca Rosso","Cadel Bosco Cadel Bosco","Italy",13,0,1,3,4,3,NA,2004,750,45.594620939688,9.99093794156159,265,137,269,652,64,293,438,23.6465,14.1835,18.798,10.755,63.06625,397.51,14.0055,253.750962,21.9101296,7.68128,3.9,8,0,1,0,0,0,0,0,1
"33",146178,"Marchesi di Gresy Solomerlot","Marchesi di Gresy","Italy",13.5,17.5,1,3,3,3,136000,2004,750,44.7254469,8.0806959,282,138,223,311,77,329,448,21.2675,13.33,17.298,9.8415,64.03985,374.74,13.096,266.436835,22.994885,8.05595,4.2,10,0,1,0,0,0,0,0,1
"34",146839,"Petra, Zingari","Petra","Italy",14.5,0,1,3,4,3,46000,2017,750,43.0526445363636,10.7037193580134,258,109,256,277,76,325,419,25.009,14.9175,20.173,13.839,69.69,151.39,19.9705,280.7165,24.2415,8.405,3.9,12,0,1,0,0,0,0,0,1
"35",147146,"Poggio Salvi, Lavischio","Poggio Salvi","Italy",13.5,0,1,3,3,3,NA,2007,750,43.2788179799731,11.2362306518845,314,144,278,302,75,293,429,25.098,12.942,19.1325,11.73,66.0749,213.99,19.806,277.47315,23.954175,8.36675,3.6,12,0,1,0,0,0,0,0,1
"36",147187,"La Montecchia, Ca'emo","La Montecchia","Italy",12,17,1,3,4,3,54000,2007,750,45.3985762,11.7801507,253,109,303,493,72,248,449,25.225,15.402,20.197,13.4145,68.34005,470.54,13.259,243.4697296,21.0228844,7.3999975,4.1,15,0,1,0,0,0,0,0,1
"37",147197,"Petra, Quercegobbe","Petra","Italy",14.5,17,1,3,5,4,130000,2017,750,43.0526445363636,10.7037193580134,258,109,256,277,76,325,419,25.009,14.9175,20.173,13.839,69.69,151.39,19.9705,280.7165,24.2415,8.405,4.1,12,0,1,0,0,0,0,0,1
"38",147281,"Di Lenardo, Merlot","Di Lenardo","Italy",13,17,1,3,4,3,NA,2008,750,45.8940036965203,13.2329947139612,331,207,314,583,71,224,462,23.363,13.7235,18.544,12.453,69.87595,936.08,14.907,244.73182,21.126119,7.437,3.6,6,0,1,0,0,0,0,0,1
"39",147315,"Poliziano, In Violas Cortona","Poliziano Azienda Agricola Poliziano","Italy",14,17,1,3,4,4,80000,2014,750,43.1349397949724,11.8443983107798,251,100,216,274,77,270,513,22.8205,12.459,17.749,11.782,70.9005,345.39,14.4545,256.6615,22.162,7.83,3.9,12,0,1,0,0,0,0,0,1
"40",147328,"Villa Pillo, Cingalino Rosso di Toscana","Villa Pillo","Italy",13.5,17,1,3,4,3,55000,2018,750,43.5391127,10.954075,274,87,334,351,76,269,397,25.594,14.3815,19.9655,13.197,68.1515,273.9,18.0195,333.816,28.6315,7.58,3.7,12,0,1,0,0,0,0,0,1
"41",147332,"Cadel Vispo, Cruter","Cadel Vispo","Italy",13.5,17,1,3,4,3,85000,2014,750,43.4705741792336,11.0209465409334,251,103,311,346,77,291,398,24.8755,14.182,19.4675,13.038,69.284,322.29,17.327,261.9325,22.6255,7.985,3.6,12,0,1,0,0,0,0,0,1
"42",147583,"Col d'Orcia, Nearco Sant' Antimo","Col dOrcia","Italy",14.5,16,1,3,5,4,NA,2015,750,42.9672416358976,11.4378187261161,266,132,288,344,73,319,393,25.099,14.668,20.154,13.074,67.1755,122.79,19.0435,268.424,23.184,8.08,3.9,12,0,1,0,0,0,0,0,1
"43",147651,"Fornacelle, Guarda Boschi","Fornacelle","Italy",13.5,17,1,3,4,4,NA,2007,750,43.1762733387662,10.5951993512603,251,118,282,281,76,364,354,22.9475,13.8835,18.2815,12.7215,72.79735,248.09,22.4055,275.3427,23.77528,8.3313,4.1,12,0,1,0,0,0,0,0,1
"44",149825,"Prima Pietra","Riparbella","Italy",14.5,17,1,3,3,3,380000,2007,750,43.3655227164493,10.623234599416,306,143,327,562,65,309,363,23.8315,13.9785,18.8335,12.4715,69.2386,272.67,20.339,275.43212,23.78304,8.3334,4.4,12,0,1,0,0,0,0,0,1
"45",149827,"Dainero","Riparbella","Italy",13.5,17,1,3,3,3,100000,2008,750,43.3655227164493,10.623234599416,306,143,327,562,65,309,363,24.6645,14.2425,19.4545,13.133,69.6505,322.75,19.115,275.487144,23.787748,8.33408,3.6,12,0,1,0,0,0,0,0,1
"46",150532,"Bastianich, Vespa Rosso","Bastianich","Italy",13.5,17,1,3,4,4,140000,2008,750,46.07571290834,13.4480918243886,337,155,243,502,65,325,432,22.7275,11.687,17.7895,11.7315,69.7634,1136.76,14.802,236.12961,20.386896,7.209,3.8,6,0,1,0,0,0,0,0,1
"47",150578,"Duemani, Altrovino","Duemani","Italy",13.5,17,1,3,4,3,NA,2016,750,43.3652705222222,10.5936184555556,291,103,329,462,71,321,350,25.5435,15.167,20.2865,14.237,71.1025,268.95,18.0775,275.157,23.7595,8.33,4,12,0,1,0,0,0,0,0,1
"48",150654,"Bollini, Merlot ","Empson Neil  Maria Empson","Italy",13,17,1,3,3,3,NA,2013,750,46.3220052629879,11.288034735473,279,206,227,847,63,443,330,20.7755,3.9125,11.7315,5.636,69.641,492.84,23.5995,219.398,18.9475,6.825,3.5,13,0,1,0,0,0,0,0,1
"49",150659,"Cantina Colli Euganei, Notte di Galileo Riserva ","Cantina Colli Euganei","Italy",14.5,17,1,3,3,1,100000,2016,750,45.3025739491471,11.7630462910507,330,132,434,540,69,148,418,24.422,15.2225,19.808,13.581,69.7,656.53,14.0285,243.285,21.007,7.395,3.9,15,0,1,0,0,0,0,0,1
"50",150732,"La Massa, Giorgio Primo","La Massa","Italy",14,0,1,3,5,4,300000,2012,750,43.5488269979805,11.2873697830417,294,95,319,464,71,336,344,26.7645,14.6505,20.7075,11.6785,60.8115,404.84,18.297,266.059,22.9785,8.02,4.3,12,0,1,0,0,0,0,0,1
"51",150806,"Argentiera Giorgio","Argentiera Tenuta Argentiera Poggio Argentiera","Italy",15,17,1,4,5,5,NA,2012,750,43.1656234578759,10.5417251220774,249,108,295,564,69,346,360,24.3905,14.5365,19.639,14.3595,74.2085,221.59,23.121,274.1415,23.676,8.275,4.3,12,0,1,0,0,0,0,0,1
"52",151019,"Lamacia Rosso","Tenimenti Association","Italy",12,16,2,3,3,3,25000,2010,750,45.4185001022816,11.2415114550475,267,133,264,614,69,302,434,24.8095,14.779,19.814,13.6515,72.4445,638.29,16.2925,240.0805,20.727,7.375,3.3,6,0,1,0,0,0,0,0,1
"53",152416,"Ca'Lojera, Monte della Guardia Rosato","Ca Lojera","Italy",13,13,1,3,3,1,NA,2011,750,45.4523866735708,10.6415353378564,322,137,246,553,69,358,396,25.857,15.4075,20.6825,13.034,65.32,423.71,16.164,253.917,21.9245,7.685,3.9,8,0,0,1,0,0,0,0,1
"54",152421,"Collazzi, Liberta","Collazzi","Italy",14,17,1,3,3,3,NA,2010,750,43.7182321529929,11.1975268413543,247,114,300,425,74,297,403,25.081,13.821,19.414,12.873,69.1685,506.17,20.1215,258.431,22.306,7.78,3.6,12,0,1,0,0,0,0,0,1
"55",152460,"Le Macchiole, Bolgheri Rosso","Le Macchiole","Italy",14,17,1,3,4,3,NA,2016,750,43.2034762444396,10.5864091103165,260,127,249,307,74,366,385,24.2755,15.1695,19.869,14.5935,73.895,249.24,19.4305,275.157,23.7595,8.33,4.1,12,0,1,0,0,0,0,0,1
"56",153341,"Castellare Baffonero","Castellare di Castellina","Italy",14.5,17,1,3,5,4,494000,2013,750,43.4459871107143,11.2793785301659,278,100,310,404,74,351,339,25.211,14.049,19.593,12.3055,66.653,373.26,15.7185,257.263,22.201,7.87,3.3,12,0,1,0,0,0,0,0,1
"57",153344,"Feudi Del Pisciotto, Valentino","Feudi del Pisciotto","Italy",14,17,1,3,4,3,66000,2015,750,37.1157567765534,14.4119861105648,222,117,359,230,76,258,382,25.2685,15.704,20.8655,13.9905,66.8895,213.68,19.575,283.3885,24.465,8.755,3.9,11,0,1,0,0,0,0,0,1
"58",154047,"Cantina Colli Euganei, MotoRosso","Cantina Colli Euganei","Italy",12.5,17,1,3,3,3,NA,2012,750,45.302574,11.763046,330,132,434,540,69,148,418,25.7525,15.932,20.7105,14.268,69.5435,393.75,12.802,253.4485,21.8825,7.635,3.3,15,0,1,0,0,0,0,0,1
"59",156938,"Sassoregale, Merlot","Sassoregale Tenuta Sassoregale","Italy",13.5,0,1,3,4,3,NA,2011,750,43.6082761144024,11.3037771550344,271,120,340,380,75,248,412,26.862,14.605,20.671,11.8715,60.976,268.89,18.56,270.4355,23.359,8.195,3.1,12,0,1,0,0,0,0,0,1
"60",156952,"Donnafugata, Angheli","Donnafugata","Italy",13,17,1,3,4,4,79000,2016,750,37.7958660184822,12.4658584545964,201,116,377,212,72,250,373,25.6065,16.8295,21.3575,16.273,74.693,94.2,28.0475,282.3495,24.377,8.735,3.9,11,0,1,0,0,0,0,0,1
"61",157075,"Feudi, di San Gregorio Patrimo","Feudi Feudi di San Gregorio","Italy",14,11,1,3,4,3,450000,2013,750,40.9111903792142,14.8674037376828,260,133,312,379,73,304,384,23.4345,14.7715,19.0365,12.865,69.1635,244.34,19.3945,274.296,23.679,8.41,4.2,4,0,1,0,0,0,0,0,1
"62",157662,"Ornellaia Le Serre Nuove","Ornellaia","Italy",14.5,16,1,4,3,3,165000,2012,750,43.2340065,10.6179334,233,102,293,365,75,356,352,26.005,14.68,20.3705,14.398,71.5555,269.15,21.367,274.1415,23.676,8.275,4.2,12,0,1,0,0,0,0,0,1
"63",158340,"Feudi del Pisciotto, Baglio Syrah Merlot","Feudi del Pisciotto","Italy",13.5,17,1,3,3,3,55000,2014,750,37.1157311104482,14.4119431952221,222,117,359,230,76,258,382,24.996,15.36,20.4865,13.425,66.165,72,21.847,287.962,24.8675,8.905,3.5,11,0,1,0,0,0,0,0,1
"64",159284,"La Tordera, Gabry Rose Spumante","La Tordera","Italy",12,7,1,3,3,1,58000,2017,750,45.8616409,12.0387488,270,158,289,625,66,291,420,24.386,15.0345,19.7415,14.2945,73.127,570.43,15.952,239.73,20.708,7.38,3.8,15,0,0,0,1,0,0,0,1
"65",160460,"Giacomo Marengo Armire Langhe","Giacomo Marengo","Italy",14,0,1,3,4,4,450000,2005,750,43.330290526087,11.7272088217391,275,108,296,296,77,304,400,24.8785,13.0335,19.215,11.305,63.9276,207.47,19.107,263.39515575,22.73927775,7.977545,4.3,10,0,1,0,0,0,0,0,1
"66",161721,"Barone Montalto, Collezione di Famiglia Merlot","Barone Montalto","Italy",14.5,17,1,3,4,3,62500,2014,750,37.7958660184822,12.4658584545964,201,116,377,212,72,250,373,25.025,16.705,20.997,16.6345,78.254,133.87,25.997,282.9485,24.443,8.78,3.9,11,0,1,0,0,0,0,0,1
"67",162922,"Poggio Torselli, Raniero","Poggio Torselli","Italy",14,0,1,3,3,3,NA,2015,750,43.6698498765589,11.1964923801149,229,94,288,394,74,402,310,26.472,14.313,20.4505,12.1485,62.913,319.99,19.6335,264.085,22.797,7.975,3.8,12,0,1,0,0,0,0,0,1
"68",162935,"Mondello, Rinero Veneto Desmonta","Mondello Wines","Italy",14,0,1,3,4,3,NA,2013,750,45.4015289091397,11.2298358685398,297,130,238,531,69,295,466,24.4505,15.184,19.8385,13.303,68.8795,661.28,16.4775,236.4685,20.4265,7.29,3.5,15,0,1,0,0,0,0,0,1
"69",162936,"Mondello, Nero d'Arcole Desmonta","Mondello Wines","Italy",15,0,1,4,4,3,NA,2012,750,45.4015289091397,11.2298144108684,297,130,238,531,69,295,466,26.497,16.0565,21.2815,14.954,71.957,386.41,16.363,253.535,21.888,7.69,3.9,15,0,1,0,0,0,0,0,1
"70",162938,"Bixio, Denxo Desmonta Super Appassimento","Bixio Poderi","Italy",15.5,0,1,3,3,3,NA,2010,750,45.4015523760087,11.2296237262112,297,130,238,531,69,295,466,24.8249,14.7664,19.819,13.6379,72.4555,639.18,16.48,240.0805,20.726,7.375,4.6,15,0,1,0,0,0,0,0,1
"71",162961,"Vignano Fanucci, Merlino","Vignano Fanucci","Italy",14,0,1,3,3,3,NA,2015,750,43.5566443810348,11.1305524396316,265,112,313,440,74,275,412,25.732,14.127,19.9755,12.094,64.076,338.13,19.1985,264.085,22.797,7.975,3.8,12,0,1,0,0,0,0,0,1
"72",163009,"Le Fabbriche, Merlot Palma","Le Fabbriche","Italy",13.5,0,1,3,3,3,NA,2015,750,43.3016071708134,11.7467167386187,271,107,287,270,77,282,430,25.843,13.4115,19.7465,12.4685,66.6055,342.04,17.3415,263.9475,22.7865,7.98,3.5,12,0,1,0,0,0,0,0,1
